,#songs query,songs
100,15,"[u'Haim- Days Are Gone', u'gossip- Heavy Cross', u""The Pussycat Dolls- Don't Cha"", u'Seether- Rise Above This', u'Sia- Clap Your Hands', u""CSS- Let's Make Love And Listen To Death From Above"", u'Rudimental- Spoons', u'Braids- Fruend', u'Metro Station- Kelsey', u'Austra- Forgive Me']"
101,15,"[u'Taylor Swift- Mine', u'Oasis- Lyla', u'Anthrax- Bring The Noise', u""Queens of the Stone Age- I'm Designer"", u'Black Label Society- Bleed For Me', u'\u6d5c\u5d0e\u3042\u3086\u307f- glitter', u'The Swell Season- Back Broke', u""Matt Hires- All That's Left Is You"", u'School of Seven Bells- White Wind', u'Booka Shade- Memento']"
102,15,"[u'Taio Cruz- Break Your Heart', u'Rihanna- Hate That I Love You', u'Bob Marley- Satisfy My Soul', u""Just Jack- Writer's Block"", u'Lynyrd Skynyrd- Saturday Night Special', u""Ella Fitzgerald- It's Only A Paper Moon"", u'Uncle Lucius- Keep The Wolves Away', u'Stevie B- I Wanna Be The One', u'Taio Cruz- No Other One', u""Rick James- Dance Wit' Me""]"
103,15,"[u'Jamiroquai- Seven Days in Sunny June', u'Kasabian- Goodbye Kiss', u'Pantha Du Prince- The Splendour', u'Memory Tapes- Bicycle', u'Ladyhawke- Paris Is Burning', u'Simian- We Are Your Friends (Radio Edit)', u'Simian Mobile Disco- Cerulean', u'Classixx- Holding On', u'Sarah Vaughan- Come Rain or Come Shine (Remastered Version)', u'Niva- Dirty Water']"
104,15,"[u'Disclosure- Confess To Me', u'Yeah Yeah Yeahs- Zero', u""Diana Krall- Let's Fall In Love"", u'Snow Patrol- Hands Open', u""Aretha Franklin- Ain't No Way"", u'Joris Delacroix- Air France', u'The Human League- Never Let Me Go (Aeroplane Remix)', u'Fink- Move On Me', u'Daniel Avery- Need Electric', u'The Chain Gang of 1974- Hold On']"
105,15,"[u'Madonna- Hung Up', u'Backstreet Boys- In a World Like This', u'Rihanna- Umbrella featuring JAY-Z', u""Ola- I'm in Love"", u'Don Omar- Zumba Campaign Video', u'Cut Copy- Hearts on Fire', u'Kat DeLuna- Whine Up', u'Seether- Tonight', u'Booka Shade- In White Rooms', u'Ultra Nat\xe9- Free']"
106,15,"[u'Britney Spears- Circus', u'Pitbull- Hotel Room Service', u'Iggy Azalea- Bounce', u'Paulina Rubio- Y Yo Sigo Aqui', u'Gui Boratto- Paralelo (Solee Remix)', u'Fey- Se Lo Que Vendra', u'Pete Murray- Always A Winner', u'Pete Murray- Always A Winner', u'Amaral- Monta\xf1a Rusa', u'The Divine Comedy- I Like']"
107,15,"[u'Miranda Lambert- Kerosene', u'Julieta Venegas- Te Vi', u'Totally Enormous Extinct Dinosaurs- Trouble', u'Junior Jack- Stupidisco', u'Manu Dibango- Soul Makossa', u'H\xe5kan Hellstr\xf6m- Man m\xe5ste d\xf6 n\xe5gra g\xe5nger innan man kan leva', u'Goldfish- Take Back Tomorrow', u'Basia Bulat- Before I Knew', u'Baccara- Parlez-Vous Francais?', u'Ace of Base- Travel to Romantis']"
108,15,"[u'will.i.am- #thatPOWER', u'Iggy Azalea- Work', u'Mariah Carey- We Belong Together', u'Michael Jackson- Bad', u'Conor Maynard- Turn Around', u'The Pussycat Dolls- When I Grow Up', u'Jennifer Lopez- Papi', u""The Black Eyed Peas- Don't Stop The Party"", u""The Black Eyed Peas- Don't Stop The Party"", u""Deadmau5- Ghosts 'n' Stuff""]"
109,15,"[u'Axwell- Center of the Universe (Original Radio Edit)', u'The Temper Trap- Science Of Fear', u'Television- Friction', u'MSTRKRFT- Bounce', u""Sneaker Pimps- Spin Spin Sugar ((Armand's Dark Garage Mix))"", u'Cosmic Gate- Crushed (Mark Sixma Remix)', u'Swallow the Sun- Deadly Nightshade', u'Duck Sauce- Big Bad Wolf (Dada Life Remix)', u'Orbital- Where Is It Going?', u'VCMG- Zaat']"
110,15,"[u'Chris Brown- Turn Up The Music', u'Wynter Gordon- Dirty talk', u'Miike Snow- Paddling Out', u'Benny Benassi- SATISFACTION', u'Republica- Ready To Go', u'Daft Punk- Human After All', u'The Police- King of Pain', u'Fedde Le Grand- Put Your Hands Up For Detroit', u'Behemoth- Alas, Lord Is Upon Me', u'Pain- Dirty Woman']"
111,15,"[u'Go West- We Close Our Eyes', u'Paul Kalkbrenner- Der Buhold', u'Crystal Castles- Violent Youth', u'Arianna- Sexy People (The FIAT Song)', u'Foxy- Get Off', u'Japan- Quiet Life', u'Quicksilver Messenger Service- Pride Of Man', u'Teflon Brothers- Seksikk\xe4in j\xe4b\xe4 featuring Stig, Meiju Suvas (M\xf6tley-RMX)', u'ANORAAK- Try Me (Rac Mix)', u'Neuroticfish- Black Again']"
112,15,"[u'Eminem- Beautiful (Album Version (Explicit))', u'Frank Ocean- Pyramids (Explicit)', u'Big Mama Thornton- Hound Dog', u'Elvis Presley- Stuck On You', u'And One- Military Fashion Show', u'Ryan Paris- Dolce Vita', u'Brian McKnight- Still', u'Armin van Buuren- Forever Is Ours', u'ATB- Made Of Glass', u'Viola Wills- Gonna Get Along Without You Now']"
113,15,"[u'Christina Aguilera- Hurt', u'Coheed and Cambria- Dark Side Of Me (Official Video)', u'Martin Solveig- Hello', u'Kirko Bangz- Drank In My Cup', u'Madonna- Sorry', u'Surfer Blood- Take It Easy', u'Amanda Blank- Something Bigger, Something Better', u'Yuksek- On A Train', u'School of Seven Bells- Lafaye', u'Six60- Forever']"
114,15,"[u'Stig- Viheltelen', u""Sin\xe9ad O'Connor- Troy"", u'Andain- Summer Calling (Airwave Club Mix)', u'Florent Pagny- Chanter', u'Chris Montez- Call Me', u'Banda El Recodo- Seis Pies Abajo', u'Xiu Xiu- Hi', u'Tina Cousins- Forever', u'Whitecross- In The Kingdom', u'Blue Stahli- Disco Punks On Jolt']"
115,15,"[u'Linkin Park- The Catalyst', u'Fischerspooner- Emerge', u'Bloodhound Gang- Uhn Tiss Uhn Tiss Uhn Tiss (Album Version (Explicit))', u'Armin van Buuren- In And Out Of Love', u""Ice MC- It's A Rainy Day"", u'blink-182- When I Was Young', u'For All Those Sleeping- You Belong With Me', u'Belanova- Cada Que...', u'Capital Inicial- Depois da Meia Noite', u'Young Guns- Dearly Departed']"
116,15,"[u'Amaia Montero- Tu Mirada', u""Tracy Lawrence- Can't Break It To My Heart"", u'Hybrid- Just For Today', u'883- Gli Anni', u'Emre Ayd\u0131n- Hoscakal', u'Relient K- Forgiven', u'Pierre Bachelet- Vingt Ans', u'Lights Out Asia- The Eye of All Storms', u'Los Lobos- Will the Wolf Survive?', u'In Mourning- The Art Of A Mourning Kind']"
117,15,"[u'Bloodhound Gang- Foxtrot Uniform Charlie Kilo', u""Suicidal Tendencies- You Can't Bring Me Down"", u'Cro- Geile Welt', u'Zulu Winter- We Should Be Swimming', u'Tim Maia- O Descobridor Dos Sete Mares', u'Arnaldo Antunes- Muito Muito Pouco', u'Run Kid Run- Daylight', u'Ti\xebsto- Flight 643', u'Scuba- Three Sided Shape', u""Clubroot- 'Closure'""]"
118,15,"[u'Avenged Sevenfold- Critical Acclaim', u'Sade- Babyfather', u'Redlight- Get Out My Head', u'Senses Fail- Mi Amor', u'Celldweller- The Last Firstborn (Remixed by Klayton)', u'DJ Aligator- Kiss My B-Ass', u'Appleseed Cast- Fight Song', u'Kaay- Ni Me Gustabas Tanto', u'Television Personalities- I Know Where Syd Barrett Lives', u'Anast\xe1cia- Boom']"
119,15,"[u'Aqua- Lollipop (Candyman)', u'Elvis Presley- Love Me', u'Belanova- Paso El Tiempo', u'Clark- Springtime Epigram', u'Mr. Scruff- Honeydew', u'Sylver- Why', u'Detektivbyr\xe5n- Hus Vid Havet', u'La Uni\xf3n- Si Tu Quisieras', u'Man\xe1- Tu Me Salvaste', u'Xutos & Pontap\xe9s- M\xe3e']"
120,15,"[u'Nelly Furtado- Turn Off The Light', u'Zomboy- Game Time', u'Eisenfunk- Super Space Invaders', u'3OH!3- IMNOTYOURBOYFRIENDBABY', u'Datsik- Too Late To Say No', u'Zomby- VxV', u""Darkstar- You Don't Need A Weatherman"", u""Damnation Angels- Pride (The Warrior's Way)"", u'Kvelertak- Tordenbrak', u'Motorama- Normandy']"
121,15,"[u'ATB- Long Way Home', u'Ohrbooten- Und Tsch\xfcss!', u'Legi\xe3o Urbana- Se Fiquei Esperando Meu Amor Passar', u'Sean Lennon- Part One Of The Cowboy Trilogy', u'The Donnas- Give Me What I Want', u'The Flaming Lips- I Was Zapped By The Lucky Super Rainbow', u'Trance Allstars- Lost In Love', u""Old 97's- Broadway"", u'Martina McBride- Two More Bottles Of Wine', u'Ulf Lundell- Club Zebra']"
122,15,"[u'Planetshakers- Nothing Is Impossible', u'Typhoon- CPR / Claws Pt. 2', u'Armin van Buuren- Blue Fear', u'Jay Vaquer- Cotidiano De Um Casal Feliz', u'Alice in Videoland- Got To Go', u'Squarepusher- My Red Hot Car', u'FGFC820- Insurrection', u'Bowling for Soup- Surf Colorado', u'Alceu Valen\xe7a- Esta\xe7\xe3o da Luz', u'CMX- Kappaleina']"
123,15,"[u""Juicy J- Talkin' Bout"", u'ItaloBrothers- Moonlight Shadow', u'Billy Joel- All For Leyna', u'Blondie- Pretty Baby (2001 Digital Remaster)', u'De Eneste To- Jeg Har Ikke Lyst Til At D\xf8', u""Elk City- I Know It's Over"", u'Volov\xe1n- Lobo hombre en Par\xeds', u'Eskimo- Can You Pick Me Up?', u'Scooter- Chinese Whispers', u'Cosmic Tone- Toxic']"
124,15,"[u'Orleans- Still The One', u'Pat Boone- Speedy Gonzales', u'Barenaked Ladies- Too Little Too Late', u'Austra- The Choke', u'Katra- Beast Within', u'Omar Geles- Chao Amor', u'Pat Green- LET ME', u'David August- Forgive Me If I Bleed', u'Nick Cave & The Bad Seeds- She Fell Away', u'Samantha James- Come Through']"
125,15,"[u'Deap Vally- Bad For My Body', u""The 13th Floor Elevators- You're Gonna Miss Me"", u'Eluveitie- Calling The Rain', u'Scooter- Faster Harder Scooter', u'Amy Macdonald- Life In A Beautiful Light', u""Bizarre- My Mom's a Stoner"", u'Natalia Lafourcade- Tiempo Al Viento', u'The Acacia Strain- Nightman', u'Sinitta- Right Back Where We Started From', u'Basshunter- I Know U Know']"
126,15,"[u'C\xe9line Dion- Loved Me Back to Life', u'Selah Sue- On The Run', u'Matt Redman- Magnificent', u'Gent & Jawns- TurnUp', u'Armik- For Annette', u'La Gusana Ciega- Asimetrica', u'Sorriso Maroto- Em Suas M\xe3os', u'Space Buddha- Walk Thru Time', u'FM Attack- With You Tonight', u'Relient K- Up And Up']"
127,15,"[u'The Pigeon Detectives- I Found Out', u'Alkaline Trio- Only Love', u'Megadeth- Black Swan', u'Snow Patrol- Fallen Empires', u'Snow Patrol- Fallen Empires', u'Wild Nothing- Wait', u'Los Chiches Vallenatos- Lo Dulce de un Te Quiero', u'Milk Inc.- Wish', u'vypsan\xe1 fiXa- Cernej les', u'Aquatica- Angels']"
128,15,"[u'Crossfade- Cold', u'Man\xe1- Clavado en un bar', u'Lupe Fiasco- Go Go Gadget Flow', u'Trent Reznor and Atticus Ross- A Familiar Taste', u'Frankmusik- Map', u'Los Dynamite- Frenzy', u'Jay Rock- They Be On It', u'Reamonn- Faith', u'Ebony Bones!- Breathe', u'Violent Soho- Bombs Over Broadway']"
129,15,"[u'Sex Pistols- Liar', u'Dido- Us 2 Little Gods', u'Banda de turistas- Cada D\xeda', u'Rockabye Baby!- No Surprises', u'Dee Dee Ramone- False Alarm', u""Katchafire- Sensimillia (Pitch Black's Sensi Dub)"", u'Plies- My City', u'Mark With a K- Bad Boy Rocking', u'Enzyme X- Nightbreed', u'Steph Macpherson- Summer Salute']"
130,15,"[u'B.o.B- Ray Bands', u'Apollo 440- Stop The Rock', u'Heartless Bastards- Got To Have Rock And Roll', u'Jonathan Coulton- Dance, Soterios Johnson, Dance', u'Headhunterz- From Within', u'Skeletonwitch- My Skin of Deceit', u'Zatox- Check Out The Drop', u'Miracle Of Sound- Hammers in My Head', u'Boyzone- Gave It All Away', u'Porcupine Tree- Tinto Brass']"
131,15,"[u'MIDI LIDI- Tv\u016fj Domov', u'Rick Trevi\xf1o- Full Deck Of Cards', u'Copilul De Aur- Valoarea Mea', u'Just Off Turner- One Of Us', u'Pointed Sticks- All I Could Take', u'The Reddmen- Baby We Were Born To...', u'The Darkstylerz- The Alternative', u'Ash Pool- Ravine Is Set For A Stoning', u'The Ambrosian Singers- O Vos Omnes', u'The Startover- If You Build It...']"
132,15,"[u'Pinback- AFK', u'Juicy J- Dynamite (Instrumental)', u'Steve Stevens- Run Across Desert Sands [Instrumental LP Version]', u'Banda Lua Music- O Gago Apaixonado', u'Kluster- Face the music', u'78bpm- Another Planet', u'An Pierl\xe9- Helium Sunset', u'Vir Unis- Logan', u'Carol Sloane- Baubles, Bangles And Beads', u'Tieum- The Name Where You Are']"
133,15,"[u'Los Tucanes de Tijuana- El Tres Letras', u'Karkkiautomaatti- Hei okei m\xe4 meen', u'Mickey B.- MISS YOU', u""St. Elmo's Fire- ALWAYS"", u'Kike Gabana- Ella mi Estrella', u'Golpe- I Dont Need Meat At Monday', u""Da' Boi Boi Yg- Boss"", u'Waxmaster- Video Juke', u'Willy Chirino- Conmigo Es . . . (Duet With Ilan Chester)', u'Erico Noir- La Petite']"
134,15,"[u'Broadway Calls- Tonight Is Alive', u'Susana Baca- Los gallinazos', u'Lucky Luciano- Da Real', u'The Hackensaw Boys- Seattle', u'Erick Elera- Dile Que No Lo Quieres', u'Jelly Headz- Dead Heads', u'Lightning Strikes- Pow Wow Trail', u'Walkingseeds- Doom Patrol', u'Rebel Fury- Skit- Duke From Da Stoop (New Years Day)', u'Yes-R Darryl Sjaak Soesi B- Gangsterboys - Gangsterboys']"
135,15,"[u""Orianthi- What's It Gonna Be"", u'Hilight Tribe- Abakwa', u""You, Me, and Everyone We Know- Some Things Don't Wash Out"", u'Les Cowboys Fringants- Awikatchika\xebn', u'Mario Ranieri- Freude am Leben', u'Schelmish- Too late', u'Rocco & Bass-T- Our Generation (Back in the UK Edit)', u'Bodyrockers- New York City Girl', u'Deluka- Snapshot', u'Steve Abley- You Make Me Happy!']"
136,15,"[u'Matt & Kim- Silver Tiles', u'Incubus- Thieves', u'Green Day- The Static Age', u'Mario Kirlis- Awal Suhur', u'Inner- Myphilosophy', u""Peter Heppner- D'antan (Instrumental)"", u'Los Cafres- Tilcara', u'Kid Rock- MY OEDIPUS COMPLEX (Son Version)/(LYRICS!)', u'Pro-Pain- All Rise', u'Trio Eterno- Zarautz']"
137,15,"[u'Sasquatch- The Message', u'Stephen Stills- So Begins The Task', u'Over It- Siren On The 101 (Album Version)', u'Sweet Thing- Dance Mother (Explicit Version)', u'Fiery Blue- Wheels Up', u'Joe Weineck- Breakfast On Neptun', u'Joe Crep\xfasculo- La Segrera', u'Mike Moreno- World Of The Marionettes', u'Useless I.D.- Misconception - Urge to Ruin', u'Vyktoria Pratt Keating- Spider']"
138,15,"[u'Sparks- ANGST IN MY PANTS', u'Rhett Miller- COME AROUND (Radio Edit)', u'Jethro Tull- No Lullaby (2003 Digital Remaster)', u'Miss Caffeina- MM', u'10cc- Silly Love', u'James Yuill- Second-Hand Steinway', u'Collide- Somewhere', u""Soft Circle- Don't Know"", u'Ernest Gonzales- Run Jump Seek', u'Susi Beatty- Be Still My Breaking Heart']"
139,15,"[u'Kaya Project- One God Dub', u'Summer Twins- Worryhead', u""Sparks the Rescue- Worst Thing I've Been Cursed With"", u'Richard Marx- Straight From My Heart', u'Ofra Haza- Love Letter', u'Thunder- Love Walked In (Live)', u'Rampue- From Zero To Sixtyfour', u'Cooper- Yo S\xe9 Lo Que Te Pasa', u""Kaya Project- One God Dub (Dubsahara's Instrumental Remix)"", u'Brave Old World- Farewell']"
140,15,"[u'Keri Hilson- Pretty Girl Rock', u'Keri Hilson- Pretty Girl Rock', u'Muse- Muscle Museum', u'The Boxer Rebellion- Always', u'Flogging Molly- The Seven Deadly Sins', u'Scale the Summit- Alpenglow', u'Aaron Keyes- Sovereign Over Us', u'Bluetech- Probability Tree', u'Sonata Arctica- Abandoned, Pleased, Brainwashed, Exploited', u'Barcelona- Lesser Things']"
141,15,"[u'Jonny Craig- The Lives We Live', u'Plies- Who Hotter Than Me', u'KraftKlub- Scheissindiedisko', u'Skanna- Find Me', u'Naft- Hero changed my life', u""Violet Nine- I've Seen You Before"", u'Kutosis- Wake Up Jealousy', u'Call the Cops- So fly (Bonus B-Side)', u'Vate- Seis Segadoras Verdes', u'Love You Long Time- Save The World']"
142,15,"[u'Cherry Ghost- 4am', u'Moptop- Contram\xe3o', u'Jon Kennedy- Boom Clack', u'La Fuga- Abril', u'Sonic Boom Six- The Road To Hell Is Paved With Good Inventions', u'Alpha Blondy- Souroukou Logo', u'XTC- The Disappointed', u'Rage- Into The Light', u'The Easybeats- Hello, How Are You?', u'Courtney Pine- The Jazzstep']"
143,15,"[u'Yukon Blonde- Six Dead Tigers', u'The Cure- A Forest (Tree Mix)', u'Treat- No Way Without You', u'Foals- Gold Gold Gold', u'Story of the Year- Save One - Bonus Track', u'Lord- F\xe1zom a sz\xe9lben', u'Ponctuation- Pete Townshend', u'The Intersphere- Tear Down the Walls', u'R2Dm- Ding Dang Dong ((Future Rave Mix))', u'Doc Watson- DAYBREAK BLUES (Live)']"
144,15,"[u'Editors- Distance', u'Caf\xe9 Tacuba- Rarotonga', u'Skyforger- Black Rider', u'Delerium- Eternal Odyssey', u'Chixdiggit!- I Remember You', u'The Enemy- 1-2-3-4', u'Pato Fu- Tudo Vai Ficar Bem', u'Undertow- Art Of Falling', u'Tha Playah- The Rule Of Cool (Art Of Fighters Remix)', u'Eleven Past One- Ridin Dirty']"
145,15,"[u'Fall on Your Sword- First Release', u'Caf\xe9 Tacuba- El catr\xedn', u'Johnny Harris- Paint It Black', u'The Police- Message In A Bottle (Live In Boston / 2003 Stereo Remastered Version)', u'Hedningarna- Torget', u'Astralasia- Doctor Who', u'Andress Conde- Skull Destroyed', u'Angele Phase- Organ Chase', u'Fadt Fanfare- Capitaine feuk', u'Pandora- Popurr\xed Emmanuel ( En Vivo )']"
146,15,"[u'Rata Blanca- Guerrero del Arco Iris', u'Ill Ni\xf1o- Te Amo...I Hate You', u'Lisbeth Scott- Where', u'Sam Roberts Band- Sang Froid', u'Therapy- This Ship Is Sinking', u'London Elektricity- I Resign', u'Nick Skitz- Hardcore Angel', u'Lorenz- Ton indiff\xe9rence', u'Tr\xfcmmerwelten- Die For Your Love', u'Kliche- Bodyguards (2011 Digital Remaster)']"
147,15,"[u'Styles & Breeze- Slide Away', u'Frank Riggio- Statis Vampire', u'Test Dept- Enigma Of Doctor Dee', u""Limbeck- Limbeck - ''Why Don't You Just Leave Already? (dance remix)''"", u'Dougal & Gammer- Acid', u'Joey Sun- The Hive', u'Furi Anga- The Day My Unicorn Died', u'Tone Mr Blacktop- I Remember You (Feat. Santina)', u'Rachel Germain- Wonder', u'M.O.N.S.- La Tua Immagine']"
148,15,"[u'Trentem\xf8ller- Snowflake', u'Labyrinth- The Shooting Star', u'Skyclad- Something To Cling To', u'Banda Bassotti- Siamo guerriglia', u'Mouse On Tha Track- Hand Rub', u'Highlight Enemies- I Wanna Be Sedated', u'Antagon- Collapse', u""The Floor Is Made of Lava- Ain't Half Bad"", u'Trevor Rabin- Sphinx', u'Zain- Umea Izan Nahi Dut']"
149,15,"[u'Patrick Droney- Bring You Back', u'Traxamillion- 808 (Instrumental)', u'Battalion- Mullet Head', u'Psilodump- Muikku (Paza Rahm Remix)', u'Bori- Hey! Rock Dee Jay', u'DJ Trax- Semi Converstaional (Fanu Remix)', u""Brookoz- Una pagina (It's time)"", u'Tony Curtis- One of a Kind', u'Strawberry Fly Rockets Kohei Tsuji- The Song of Inari-Udon (chorus only) TOYOKAWA INARIUDON OFFICIAL PR SONG', u'Kevin Fox- House Is a Rocking']"
150,15,"[u'Moses Pelham- Schnaps f\xfcr alle', u'Uniting Nations- Out Of Touch (UFO Remix)', u'DJ Speedfucker- Fucking Bass Drum', u'Kuraia- Bi Aurpegi', u'I Had Plans- Guidelines', u""Shezoo- Neptunes' Sons"", u'Villem- Red Matter', u'Bluey- Tranquility', u'Hi Shelf- 2moro (Original Mix)', u'Linda Violeta Nino- Mil Mares']"
151,8,"[u'Nena- Ich bin hyperaktiv', u'Howard McGhee Quartet- Trumpet At Tempo', u""The Maharajas- Since You've Been Away"", u'Alan Sandberg- About You', u'Groove Ltd Orchestra- I Love My Label - Groove Ltd Orchestra', u'The Bleeders- The Kill', u'Nelver- Sky (Original Mix)', u'Marco Riboni- Studio n.16, in Sol minore: Allegretto']"
152,14,"[u'Zeds Dead- Rude Boy', u'Zirrosis- Sin Mas', u'Henrique Costa- Liana', u'Xc-N- Kein Signal', u'Live For Tonight- Break Hearts, Not Records', u'Andy Cooney- The Auld Christmas Waltz', u'MR. NINA ROSS- Flip Flowz', u'Ant TC1 | Survival- Wasteland', u'Employee of the Month- Current', u'Katia, Brunali- Le Mondine']"
153,8,"[u'Christine Ott- Chemin Vert', u'Calculon- Easy On The Motion', u'Max Raffeng Group- San Andres', u'Robert Earl Longley- Bandoleros (Prelude)', u'Cinematic- I Believe', u'Munna Singh- Ayodhya Nagriya Ajore', u""The Flaming Lips- SHE DON'T USE JELLY (Outro Fade)"", u'M. S. Sheela- Manasu Karuga (Raga - Hamsadhwani / Tala - Rupakam)']"
154,12,"[u'This Time Next Year- Note', u'The Glitch Mob- How To Be Eaten By A Woman - Camo UFOs Remix', u'Love Gangsters- Bad Attitude', u""The Maranatha! Singers- You're Worthy Of My Praise"", u""Chris Andrews- What'd I Say"", u'Loveloud- This Life', u'The Leather Uppers- Halfway Houseboat', u'Johann Sebastian Bach- Prelude and Fugue in E flat major, BWV 552, ""St. Anne"" : Fugue I \u2014', u'Ekstreme- Gotta Be Fresh (Feat. Jre)', u'Brian Tremblay- Model Dairy Milkman']"
155,13,"[u'Sum 41- Mr. Amsterdam (Album Version (Explicit))', u'Project X- Wood Man', u'Catacomb- Stonerose', u'Emoshin- Limited Editions (Morning Mix)', u'The Beatles- 1963', u'Navigator- Bad Minds (Instrumental Mix) (Feat. Erbndub, Tony Anthem And Smk)', u'Vinod Aggarwal Harsh- Meri Maiya Ka Nahin Hai Bakhan', u'Chino- Tunn It Up & Dunn', u'Los Vaquetones- Paquetes De Libra', u'Black Sun Empire- Forever']"
156,13,"[u'Mr Shadow- Dirty Money', u'Fly Project- Roda', u'Jacky Galou- Le chat et la souris (Version instrumentale)', u'Tracer- Shake Body (Black ver.)', u'Mr.Melody- Come Getcha Love (feat. King Lyrical)', u""Zinkin' Prim- Ser\xe1 Verdad"", u'Call it Fiction- Another Goodbye', u'Da Hol 9- Nahjae', u'Quantize- Delay Girls', u'Michael Silas- Pyar Se Pyar']"
157,4,"[u'Extreme Love- A Mighty Army', u'Robertinho Silva- Bemsha Swing', u'Nashville Pianos- Rig-A-Ma-Role-Rag', u'Melos Quartet- 1-08 Op. 18, No. 2, Mvt. IV. Allegro molto quasi Presto']"
158,7,"[u'Deli J- Dilemma', u'Duo Chanot- Violin Sonata in A major, M. 8 : IV. Allegretto poco mosso', u""Fr\xe9d\xe9rick Doiron- J'te tourne autour"", u'C. Darensbourg and B. Jupiter- Game To Inning', u""Bonnie 'N' Clyde- Saturday"", u'Rabb Of Lost Soulz- Sticky Situation', u'Various Artists- Hot Instr']"
159,3,"[u'VS- 2-Wheeler', u'Talat Aziz- Medly Of Ghazals', u'Rekharani- Muavalas Muavalas']"
160,15,"[u'Living Sacrifice- Organized Lie', u'Grupo Vida- CUANDO CUANDO', u'Akrea- Auf leisen Sohlen', u'Brigadier Jerry- Slackness Bite The Dust', u'J Bigga- Threesome', u'tripped- Cool World', u'Louis King- Here She Comes Again', u'Fama- Dos Mujeres', u'Mon Roe- Mexico', u'Wynterborne- For Granted']"
161,3,"[u""Enric Sifa- Birashoboka (It's Possible)"", u'Hyperthermia- Seven', u'Don Demyx- K\xe4is H\xe4ppi-\xc4nd']"
162,6,"[u""Saosin- IT'S FAR BETTER TO LEARN"", u'Buddy Holly- Love Me', u'Nat King Cole- Oh, Kickeroony', u'Dan\xe7a Brasil- Elevador', u'The John Entwistle Band- Billy', u'Dogg- My Introduction']"
163,3,"[u'Larsen- El payaso', u'Demis Roussos- La mer', u'Paul Hannan- Pedal Hard']"
164,5,"[u'Kabouter Plop- In Bad', u""FLY2 Project- Calcutta's Child"", u'Statedlife- Black Rock Sunrise', u'Charlesy- Hoolah Hoop', u'Roach Joka- Project Boy 4 Life (feat. Raw, Detour & Project Born)']"
165,2,"[u'Blosson- I Only Have Eyes For You', u'Jon Bremen- Happenings']"
166,11,"[u'Mokoma- Mene ja tied\xe4', u'Good Vibe Styla- Fire pon dem', u'HDM- Tango de la muerte', u'I Muvrini- Gioia', u'Sameer- Ek Anjaan Ladki', u'Unleashed Power- Cataclysm', u'MAdoppelT- Ich will', u'The Perfectos- Join Together', u'Starrats- I Wish I Was', u""El's Mystery- Harpsichord Swirl""]"
167,2,"[u'Random Hero- Bonechillers and Stonecasters', u'Gary Ramey- Another Day In Life']"
168,8,"[u'Fleshcrawl- Dark Dimension (`05 Remastered)', u'Straightaway- Had Your Chance', u'The Stone Family- I Wanna Be A Flintstone', u'Stephan Paryla- Das Marinearchiv', u'Oliver Mager- Joggerlied', u'Sx2ang dO- One Light', u'Mc Alberto- Envidia', u'Los Palmeras- Expl\xedcame']"
169,4,"[u'Blind Guardian- Journey Through The Dark (Remastered)', u'Madball- Ball Of Destruction (w/hidden track) (Album Version)', u'Bristle- Fired From Life', u'Hagai Shaham- Violin Concerto No. 3 in G Minor, Op. 99: II. Scherzo. Presto']"
170,10,"[u'Pain- Monster', u'Pain- Monster', u'Space Project- Abandoned Places', u'Watmastaz- TeknoStory', u'MBS- Syst\xe8me Primitif', u'Armageddon Turk- The Sorcerer', u'Murphy Lee- WAT DA HOOK GON BE (Clean Version)/(LYRICS!)/(CONTENT!)', u'On Ice E- Comin 4ya, I Told Ya (Double Shotz Mix Dirty)', u'Pro & Reg- Corruption', u'Sonorous Star- This Dark Heaven']"
171,1,[u'Omar Santana- Step Da Fuk Back - Oh-Mega Remix']
172,13,"[u'Nurses- So Sweet', u'Silvertung- Slow Me Down', u'Lisa M- Pa La Calle (Clean Version)', u""Guido Lembo- Napoli e'"", u'Bernie Perez- Mal Vicio', u'Imani- Roots', u""The Eerie Alien- In Memory Of Spacedog O'Riley"", u'Zenith, Dj Nadir- Redenci\xf3n', u'Brian McGuire- The Nieghborhood', u'Nirvana- RETURN OF THE RAT (Outcesticide)']"
173,1,[u'Jaswant Sandeela - Parminder Sandhu- Lahinga-Lahinga-Lahinga']
174,3,"[u'Pillar- SUNDAY BLOODY SUNDAY', u'Rey Pirin- Alabalo', u'S\xe1loa Farah- I Wish']"
175,3,"[u'Julio Castej\xf3n- Salvation', u""Apokalyptic Raids- Victim O'velocity"", u'Bodega Bodega- TODO LO QUE TENGO LO DOY']"
176,9,"[u""D.O.A.- Don't Bank On A Bank"", u'Lord and Master- Jealousy', u'The Wake- Watchtower (Re-mix 2.2 wHATEver)', u'Seo Ga In- Already', u'Vikash Kumar- Je Hota Chhori Main Dhanwan Original', u'Djnoice No Chaser- Ovaload & Xplode', u'CM aka Creative- All Over The World (Featuring J-Absolute & Doc Becket)', u'Dippa Sat-Rang- Nakhro', u'Tha Clairemonstaz- Rollin Puffin (feat. C Los)']"
177,1,[u'None More Black- Gary Page One in Pink']
178,4,"[u'Bittar Sweet- Shine Prelude (Skit)', u'Portmanteau- Full Size Preparation', u'Vinay Bihari- Dheere Dheere Daal', u'Widespread Bloodshed- Computer Jugend']"
179,0,[]
